Player,Class,Pos,Summary,Year,School,Coach
Matt Christian,JR,QB,"114 Cmp, 237 Att, 1372 Yds, 8 TD",2010,New Mexico State,DeWayne Walker
Andrew Manley,FR,QB,"63 Cmp, 121 Att, 604 Yds, 1 TD",2010,New Mexico State,DeWayne Walker
Tanner Rust,FR,QB,"8 Cmp, 18 Att, 33 Yds, 0 TD",2010,New Mexico State,DeWayne Walker
Kenny Turner,SO,RB,"115 Att, 461 Yds, 4.0 Avg",2010,New Mexico State,DeWayne Walker
Seth Smith,SR,RB,"101 Att, 385 Yds, 3.8 Avg",2010,New Mexico State,DeWayne Walker
Robert Clay,SO,RB,"54 Att, 226 Yds, 4.2 Avg",2010,New Mexico State,DeWayne Walker
Brandon Perez,SR,RB,"5 Att, 10 Yds, 2.0 Avg",2010,New Mexico State,DeWayne Walker
Donavan Roberts,JR,RB,"3 Att, -7 Yds, -2.3 Avg",2010,New Mexico State,DeWayne Walker
Victor Johnson,SO,RB,"3 Att, 9 Yds, 3.0 Avg",2010,New Mexico State,DeWayne Walker
Marcus Allen,SR,WR,"42 Rec, 598 Yds, 14.2 Avg",2010,New Mexico State,DeWayne Walker
Todd Lee,JR,WR,"24 Rec, 280 Yds, 11.7 Avg",2010,New Mexico State,DeWayne Walker
Taveon Rogers,JR,WR,"18 Rec, 278 Yds, 15.4 Avg",2010,New Mexico State,DeWayne Walker
Kenonte Howard,JR,WR,"1 Rec, 28 Yds, 28.0 Avg",2010,New Mexico State,DeWayne Walker
Darrius Preston,SO,WR,"8 Rec, 83 Yds, 10.4 Avg",2010,New Mexico State,DeWayne Walker
William Frazier,JR,WR,"7 Rec, 51 Yds, 7.3 Avg",2010,New Mexico State,DeWayne Walker
Marcus Williams,FR,WR,"7 Rec, 56 Yds, 8.0 Avg",2010,New Mexico State,DeWayne Walker
Brandon Flanagan,FR,WR,"1 Rec, 6 Yds, 6.0 Avg",2010,New Mexico State,DeWayne Walker
Spencer Diaz,SR,TE,,2010,New Mexico State,DeWayne Walker
Kyle Nelson,SR,TE,"41 Rec, 371 Yds, 9.0 Avg",2010,New Mexico State,DeWayne Walker
Stephen McIntyre,JR,TE,"1 Rec, 1 Yds, 1.0 Avg",2010,New Mexico State,DeWayne Walker
Kyle Hipp,SR,TE,,2010,New Mexico State,DeWayne Walker
Davonte Wallace,FR,OL,,2010,New Mexico State,DeWayne Walker
Jordan Davenport,JR,K,,2010,New Mexico State,DeWayne Walker
Jake Capraro,FR,K,,2010,New Mexico State,DeWayne Walker
Tyler Stampler,FR,K,,2010,New Mexico State,DeWayne Walker
Pierre Fils,JR,DL,,2010,New Mexico State,DeWayne Walker
John Finau,SR,DL,,2010,New Mexico State,DeWayne Walker
David Mahoney,JR,DL,,2010,New Mexico State,DeWayne Walker
David Niumatalolo,JR,DL,,2010,New Mexico State,DeWayne Walker
Donte Savage,JR,DL,,2010,New Mexico State,DeWayne Walker
Kawika Shook,SR,DL,,2010,New Mexico State,DeWayne Walker
Tommy Stuart,SO,DL,,2010,New Mexico State,DeWayne Walker
Augafa Vaaulu,FR,DL,,2010,New Mexico State,DeWayne Walker
Branden Warner,SR,DL,,2010,New Mexico State,DeWayne Walker
Bryan Bonilla,FR,LB,,2010,New Mexico State,DeWayne Walker
Dylan Davis,FR,LB,,2010,New Mexico State,DeWayne Walker
Anthony Joyner,FR,LB,,2010,New Mexico State,DeWayne Walker
Numi Lolohea,SO,LB,,2010,New Mexico State,DeWayne Walker
Frank Padilla,SR,LB,,2010,New Mexico State,DeWayne Walker
David Quiroga,SO,LB,,2010,New Mexico State,DeWayne Walker
B.J. Adolpho,SO,LB,,2010,New Mexico State,DeWayne Walker
Boyblue Aoelua,JR,LB,,2010,New Mexico State,DeWayne Walker
George Callender,FR,DB,,2010,New Mexico State,DeWayne Walker
Davis Cazares,FR,DB,,2010,New Mexico State,DeWayne Walker
Jonte Green,JR,DB,,2010,New Mexico State,DeWayne Walker
Devin Jackson,FR,DB,,2010,New Mexico State,DeWayne Walker
Darien Johnson,FR,DB,,2010,New Mexico State,DeWayne Walker
Josh Smith,FR,DB,,2010,New Mexico State,DeWayne Walker
Justin Smith,FR,DB,,2010,New Mexico State,DeWayne Walker
Michael Zant,JR,DB,,2010,New Mexico State,DeWayne Walker
Donyae Coleman,JR,DB,,2010,New Mexico State,DeWayne Walker
Davon House,SR,DB,,2010,New Mexico State,DeWayne Walker
Alphonso Powell,SR,DB,,2010,New Mexico State,DeWayne Walker
