Player,Class,Pos,Summary,Year,School,Coach
Alex Espinoza,,QB,"153 Cmp, 299 Att, 2023 Yds, 15 TD",1986,Iowa State,Jim Criner
Brett Sadek,,QB,"12 Cmp, 22 Att, 179 Yds, 3 TD",1986,Iowa State,Jim Criner
Joe Henderson*,,RB,"122 Att, 436 Yds, 3.6 Avg",1986,Iowa State,Jim Criner
Sylvester Nickerson,,RB,"34 Att, 131 Yds, 3.9 Avg",1986,Iowa State,Jim Criner
Curtis Warren,,RB,"30 Att, 148 Yds, 4.9 Avg",1986,Iowa State,Jim Criner
Michael Brown,,RB,"13 Att, 65 Yds, 5.0 Avg",1986,Iowa State,Jim Criner
Tom Kiska,,RB,"8 Att, 33 Yds, 4.1 Avg",1986,Iowa State,Jim Criner
Andrew Jackson,,RB,"143 Att, 455 Yds, 3.2 Avg",1986,Iowa State,Jim Criner
Robbie Minor*,,WR,"35 Rec, 592 Yds, 16.9 Avg",1986,Iowa State,Jim Criner
Dennis Ross*,,WR,"23 Rec, 312 Yds, 13.6 Avg",1986,Iowa State,Jim Criner
Eddie Brown,,WR,"9 Rec, 159 Yds, 17.7 Avg",1986,Iowa State,Jim Criner
Tom Schulting,,WR,"16 Rec, 234 Yds, 14.6 Avg",1986,Iowa State,Jim Criner
Eddie Bridges,,WR,"15 Rec, 330 Yds, 22.0 Avg",1986,Iowa State,Jim Criner
Tom Stawniak*,,TE,"7 Rec, 75 Yds, 10.7 Avg",1986,Iowa State,Jim Criner
Mike Busch,,TE,"7 Rec, 90 Yds, 12.9 Avg",1986,Iowa State,Jim Criner
Marcus Lester,,TE,"2 Rec, 18 Yds, 9.0 Avg",1986,Iowa State,Jim Criner
Eric Huhndorf*,,OL,,1986,Iowa State,Jim Criner
Vince Jasper*,,OL,,1986,Iowa State,Jim Criner
Brett Lawrence*,,OL,,1986,Iowa State,Jim Criner
Channon Mawdsley*,,OL,,1986,Iowa State,Jim Criner
Keith Sims*,,OL,,1986,Iowa State,Jim Criner
Scott Benson*,,DL,,1986,Iowa State,Jim Criner
Bill Berthusen*,,DL,,1986,Iowa State,Jim Criner
Robert Dabney*,,DL,,1986,Iowa State,Jim Criner
Greg Liter*,,DL,,1986,Iowa State,Jim Criner
John Cinefro,,DL,,1986,Iowa State,Jim Criner
Dennis Gibson*,,LB,,1986,Iowa State,Jim Criner
Chris Moore*,,LB,,1986,Iowa State,Jim Criner
Darrin Trieb*,,LB,,1986,Iowa State,Jim Criner
Anthony Hoskins,,LB,,1986,Iowa State,Jim Criner
Terrence Anthony*,,DB,,1986,Iowa State,Jim Criner
Aaron Manning*,,DB,,1986,Iowa State,Jim Criner
Milon Pitts*,,DB,,1986,Iowa State,Jim Criner
Brian Reffner*,,DB,,1986,Iowa State,Jim Criner
Kevin Colon,,DB,,1986,Iowa State,Jim Criner
Terry Sheffey,,DB,,1986,Iowa State,Jim Criner
Jeff Dole,,DB,,1986,Iowa State,Jim Criner
Rick Frank,,P,,1986,Iowa State,Jim Criner
