Player,Class,Pos,Summary,Year,School,Coach
Sean Schroeder,JR,QB,"175 Cmp, 344 Att, 1878 Yds, 11 TD",2012,Hawaii,Norm Chow
Jeremy Higgins,SO,QB,"29 Cmp, 48 Att, 335 Yds, 1 TD",2012,Hawaii,Norm Chow
Cayman Shutter,JR,QB,"1 Cmp, 2 Att, 3 Yds, 0 TD",2012,Hawaii,Norm Chow
Joey Iosefa,SO,RB,"125 Att, 463 Yds, 3.7 Avg",2012,Hawaii,Norm Chow
Will Gregory,FR,RB,"137 Att, 691 Yds, 5.0 Avg",2012,Hawaii,Norm Chow
Sterling Jackson,SR,RB,"52 Att, 175 Yds, 3.4 Avg",2012,Hawaii,Norm Chow
John Lister,SO,RB,"41 Att, 149 Yds, 3.6 Avg",2012,Hawaii,Norm Chow
Jared Leaf,FR,RB,"1 Rec, 5 Yds, 5.0 Avg",2012,Hawaii,Norm Chow
Scott Harding,SO,WR,"20 Rec, 321 Yds, 16.1 Avg",2012,Hawaii,Norm Chow
Jeremiah Ostrowski,SR,WR,"27 Rec, 270 Yds, 10.0 Avg",2012,Hawaii,Norm Chow
Trevor Davis,SO,WR,"17 Rec, 235 Yds, 13.8 Avg",2012,Hawaii,Norm Chow
Billy Ray Stutzmann,JR,WR,"35 Rec, 447 Yds, 12.8 Avg",2012,Hawaii,Norm Chow
Chris Gant,SR,WR,"22 Rec, 232 Yds, 10.5 Avg",2012,Hawaii,Norm Chow
Justin Clapp,JR,WR,"2 Rec, 22 Yds, 11.0 Avg",2012,Hawaii,Norm Chow
Corey Paclebar,JR,WR,"2 Rec, 13 Yds, 6.5 Avg",2012,Hawaii,Norm Chow
Chinedu Amadi,FR,WR,,2012,Hawaii,Norm Chow
Ryan Hall,JR,TE,"20 Rec, 168 Yds, 8.4 Avg",2012,Hawaii,Norm Chow
Clark Evans,JR,TE,"9 Rec, 137 Yds, 15.2 Avg",2012,Hawaii,Norm Chow
Darius Bright,SR,TE,"7 Rec, 91 Yds, 13.0 Avg",2012,Hawaii,Norm Chow
Craig Cofer,JR,TE,"3 Rec, 17 Yds, 5.7 Avg",2012,Hawaii,Norm Chow
Harold Moleni,FR,TE,"1 Rec, 16 Yds, 16.0 Avg",2012,Hawaii,Norm Chow
Luke Ingram,SR,OL,,2012,Hawaii,Norm Chow
Michael Milovale,JR,OL,,2012,Hawaii,Norm Chow
Tyler Hadden,SO,K,,2012,Hawaii,Norm Chow
Kaeo Alo,SR,DL,,2012,Hawaii,Norm Chow
Ho'Oikaika Cavaco-Amoy,JR,DL,,2012,Hawaii,Norm Chow
Haku Correa,SR,DL,,2012,Hawaii,Norm Chow
Paipai Falemalu,SR,DL,,2012,Hawaii,Norm Chow
Geordon Hanohano,SR,DL,,2012,Hawaii,Norm Chow
Marcus Malepeai,SO,DL,,2012,Hawaii,Norm Chow
Jordan Pu'U-Robinson,JR,DL,,2012,Hawaii,Norm Chow
Moses Samia,SO,DL,,2012,Hawaii,Norm Chow
Beau Yap,SO,DL,,2012,Hawaii,Norm Chow
Siasau Matagiese,JR,DL,,2012,Hawaii,Norm Chow
Tavita Woodard,JR,DL,,2012,Hawaii,Norm Chow
George Daily-Lyles,JR,LB,,2012,Hawaii,Norm Chow
Rykin Enos,SR,LB,,2012,Hawaii,Norm Chow
Benetton Fonua,FR,LB,,2012,Hawaii,Norm Chow
Jerrol Garcia-Williams,FR,LB,,2012,Hawaii,Norm Chow
Art Laurel,JR,LB,,2012,Hawaii,Norm Chow
Darryl McBride Jr.,SR,LB,,2012,Hawaii,Norm Chow
T.J. Taimatuia,SO,LB,,2012,Hawaii,Norm Chow
Kendrick Van Ackeren,FR,LB,,2012,Hawaii,Norm Chow
Lance Williams,FR,LB,,2012,Hawaii,Norm Chow
Justin Vele,FR,LB,,2012,Hawaii,Norm Chow
Brenden Daley,JR,LB,,2012,Hawaii,Norm Chow
Dylan McCagg,SR,LB,,2012,Hawaii,Norm Chow
Charles Clay,JR,DB,,2012,Hawaii,Norm Chow
Joshua Donovan,FR,DB,,2012,Hawaii,Norm Chow
Marrell Jackson,FR,DB,,2012,Hawaii,Norm Chow
Leroy Lutu,JR,DB,,2012,Hawaii,Norm Chow
Dee Maggitt,SO,DB,,2012,Hawaii,Norm Chow
Mike Sellers,SO,DB,,2012,Hawaii,Norm Chow
Mike Edwards,JR,DB,,2012,Hawaii,Norm Chow
Bubba Poueu-Luna,SO,DB,,2012,Hawaii,Norm Chow
Kamalani Alo,JR,DB,,2012,Hawaii,Norm Chow
Tony Grimes,JR,DB,,2012,Hawaii,Norm Chow
John Hardy-Tuliau,JR,DB,,2012,Hawaii,Norm Chow
Ne'Quan Phillips,FR,DB,,2012,Hawaii,Norm Chow
Alex Dunnachie,SR,P,,2012,Hawaii,Norm Chow
