Player,Class,Pos,Summary,Year,School,Coach
Darrius Preston,JR,WR,"1 Rec, 6 Yds, 6.0 Avg",2011,New Mexico State,DeWayne Walker
Trevor Walls,JR,TE,"11 Rec, 144 Yds, 13.1 Avg",2011,New Mexico State,DeWayne Walker
Andrew Dean,FR,TE,,2011,New Mexico State,DeWayne Walker
Jackson Kaka,FR,TE,"14 Rec, 126 Yds, 9.0 Avg",2011,New Mexico State,DeWayne Walker
David Quiroga,JR,TE,"3 Rec, 29 Yds, 9.7 Avg",2011,New Mexico State,DeWayne Walker
Maveu Heimuli,JR,OL,,2011,New Mexico State,DeWayne Walker
Mike Kaiser,SO,OL,,2011,New Mexico State,DeWayne Walker
Aundre McGaskey,SR,OL,,2011,New Mexico State,DeWayne Walker
Davonte Wallace,SO,OL,,2011,New Mexico State,DeWayne Walker
Dejuan Yates,SR,OL,,2011,New Mexico State,DeWayne Walker
Jordan Davenport,SR,K,,2011,New Mexico State,DeWayne Walker
Jake Capraro,SO,K,,2011,New Mexico State,DeWayne Walker
Tyler Stampler,JR,K,,2011,New Mexico State,DeWayne Walker
Mark Brown,FR,DL,,2011,New Mexico State,DeWayne Walker
Pierre Fils,SR,DL,,2011,New Mexico State,DeWayne Walker
David Mahoney,SR,DL,,2011,New Mexico State,DeWayne Walker
Stephen Meredith,FR,DL,,2011,New Mexico State,DeWayne Walker
David Niumatalolo,SR,DL,,2011,New Mexico State,DeWayne Walker
Walton Taumoepeau,JR,DL,,2011,New Mexico State,DeWayne Walker
Bryan Bonilla,SO,LB,,2011,New Mexico State,DeWayne Walker
Dylan Davis,SO,LB,,2011,New Mexico State,DeWayne Walker
Alexander Lavoy,JR,LB,,2011,New Mexico State,DeWayne Walker
Numi Lolohea,JR,LB,,2011,New Mexico State,DeWayne Walker
B.J. Adolpho,JR,LB,,2011,New Mexico State,DeWayne Walker
Boyblue Aoelua,SR,LB,,2011,New Mexico State,DeWayne Walker
Davis Cazares,SO,DB,,2011,New Mexico State,DeWayne Walker
Jesse Forte,JR,DB,,2011,New Mexico State,DeWayne Walker
Jeremy Harris,JR,DB,,2011,New Mexico State,DeWayne Walker
Darien Johnson,SO,DB,,2011,New Mexico State,DeWayne Walker
Josh Smith,SO,DB,,2011,New Mexico State,DeWayne Walker
Justin Smith,SO,DB,,2011,New Mexico State,DeWayne Walker
Courtney Viney,SR,DB,,2011,New Mexico State,DeWayne Walker
Ben Bradley,SR,DB,,2011,New Mexico State,DeWayne Walker
George Callender,SO,DB,,2011,New Mexico State,DeWayne Walker
Donyae Coleman,SR,DB,,2011,New Mexico State,DeWayne Walker
Jonte Green,SR,DB,,2011,New Mexico State,DeWayne Walker
Andrew Manley,SO,QB,"207 Cmp, 384 Att, 2764 Yds, 18 TD",2012,New Mexico State,DeWayne Walker
Travaughn Colwell,SO,QB,"6 Cmp, 13 Att, 66 Yds, 1 TD",2012,New Mexico State,DeWayne Walker
Andrew McDonald,JR,QB,"1 Cmp, 3 Att, 3 Yds, 0 TD",2012,New Mexico State,DeWayne Walker
Germi Morrison,JR,RB,"159 Att, 767 Yds, 4.8 Avg",2012,New Mexico State,DeWayne Walker
Tiger Powell,JR,RB,"72 Att, 236 Yds, 3.3 Avg",2012,New Mexico State,DeWayne Walker
Robert Clay,SR,RB,"30 Att, 111 Yds, 3.7 Avg",2012,New Mexico State,DeWayne Walker
Akeelie Mustafa,SO,RB,"15 Att, 70 Yds, 4.7 Avg",2012,New Mexico State,DeWayne Walker
David Quiroga,SR,RB,"5 Rec, 37 Yds, 7.4 Avg",2012,New Mexico State,DeWayne Walker
Brandon Betancourt,SO,RB,,2012,New Mexico State,DeWayne Walker
Austin Franklin,SO,WR,"74 Rec, 1245 Yds, 16.8 Avg",2012,New Mexico State,DeWayne Walker
Kemonte Bateman,SR,WR,"50 Rec, 707 Yds, 14.1 Avg",2012,New Mexico State,DeWayne Walker
Jerrel Brown,JR,WR,"19 Rec, 250 Yds, 13.2 Avg",2012,New Mexico State,DeWayne Walker
Joseph Matthews,SO,WR,"8 Rec, 133 Yds, 16.6 Avg",2012,New Mexico State,DeWayne Walker
Adam Shapiro,SO,WR,"2 Rec, 15 Yds, 7.5 Avg",2012,New Mexico State,DeWayne Walker
Marcus Williams,SR,WR,"2 Rec, 25 Yds, 12.5 Avg",2012,New Mexico State,DeWayne Walker
Trevor Walls,SR,TE,"19 Rec, 182 Yds, 9.6 Avg",2012,New Mexico State,DeWayne Walker
Andrew Dean,SO,TE,,2012,New Mexico State,DeWayne Walker
Perris Scoggins,JR,TE,"11 Rec, 115 Yds, 10.5 Avg",2012,New Mexico State,DeWayne Walker
Andy Cunningham,FR,OL,,2012,New Mexico State,DeWayne Walker
Mike Kaiser,JR,OL,,2012,New Mexico State,DeWayne Walker
Jake Capraro,JR,K,,2012,New Mexico State,DeWayne Walker
Maxwell Johnson,JR,K,,2012,New Mexico State,DeWayne Walker
Tyler Stampler,SR,K,,2012,New Mexico State,DeWayne Walker
Desmond Anaya,SR,DL,,2012,New Mexico State,DeWayne Walker
Mark Brown,SO,DL,,2012,New Mexico State,DeWayne Walker
Kalvin Cruz,JR,DL,,2012,New Mexico State,DeWayne Walker
Kevin Laudermill,JR,DL,,2012,New Mexico State,DeWayne Walker
Nick Oliva,JR,DL,,2012,New Mexico State,DeWayne Walker
Inuka Rhaheed,FR,DL,,2012,New Mexico State,DeWayne Walker
Chance Roberts,JR,DL,,2012,New Mexico State,DeWayne Walker
Donte Savage,SR,DL,,2012,New Mexico State,DeWayne Walker
Thomas Shepard,FR,DL,,2012,New Mexico State,DeWayne Walker
Anthony Smith,SR,DL,,2012,New Mexico State,DeWayne Walker
Walton Taumoepeau,SR,DL,,2012,New Mexico State,DeWayne Walker
Bryan Bonilla,JR,LB,,2012,New Mexico State,DeWayne Walker
Dylan Davis,JR,LB,,2012,New Mexico State,DeWayne Walker
Anthony Joyner,SO,LB,,2012,New Mexico State,DeWayne Walker
Alexander Lavoy,SR,LB,,2012,New Mexico State,DeWayne Walker
Josh Smith,JR,LB,,2012,New Mexico State,DeWayne Walker
B.J. Adolpho,SR,LB,,2012,New Mexico State,DeWayne Walker
Trashaun Nixon,JR,LB,,2012,New Mexico State,DeWayne Walker
Davis Cazares,JR,DB,,2012,New Mexico State,DeWayne Walker
Anthony Edwards,SR,DB,,2012,New Mexico State,DeWayne Walker
Darien Johnson,JR,DB,,2012,New Mexico State,DeWayne Walker
Dele Junaid,JR,DB,,2012,New Mexico State,DeWayne Walker
Samuel Oyenuga,SO,DB,,2012,New Mexico State,DeWayne Walker
George Callender,JR,DB,,2012,New Mexico State,DeWayne Walker
Cameron Fuller,JR,DB,,2012,New Mexico State,DeWayne Walker
Jeremy Harris,SR,DB,,2012,New Mexico State,DeWayne Walker
Cayle Chapman-Brown,JR,P,,2012,New Mexico State,DeWayne Walker
