Player,Class,Pos,Summary,Year,School,Coach
Kyle Boller*,JR,QB,"133 Cmp, 271 Att, 1741 Yds, 12 TD",2001,California,Tom Holmoe
Eric Holtfreter,SR,QB,"40 Cmp, 84 Att, 460 Yds, 2 TD",2001,California,Tom Holmoe
Reggie Robertson,,QB,"28 Cmp, 65 Att, 298 Yds, 1 TD",2001,California,Tom Holmoe
Joe Igber*,JR,RB,"94 Att, 399 Yds, 4.2 Avg",2001,California,Tom Holmoe
Marcus Fields*,SR,RB,"26 Rec, 301 Yds, 11.6 Avg",2001,California,Tom Holmoe
Terrell Williams,FR,RB,"160 Att, 688 Yds, 4.3 Avg",2001,California,Tom Holmoe
Michael Sparks,FR,RB,"3 Att, 2 Yds, 0.7 Avg",2001,California,Tom Holmoe
Jon Bensley,FR,RB,"2 Rec, 18 Yds, 9.0 Avg",2001,California,Tom Holmoe
Ryan Stanger,JR,RB,"2 Rec, 25 Yds, 12.5 Avg",2001,California,Tom Holmoe
Charon Arnold*,SR,WR,"52 Rec, 606 Yds, 11.7 Avg",2001,California,Tom Holmoe
Derek Swafford,JR,WR,"12 Rec, 121 Yds, 10.1 Avg",2001,California,Tom Holmoe
Christian Prelle,FR,WR,"6 Rec, 97 Yds, 16.2 Avg",2001,California,Tom Holmoe
Sean Currin,,WR,"12 Rec, 168 Yds, 14.0 Avg",2001,California,Tom Holmoe
Burl Toler,,WR,"12 Rec, 174 Yds, 14.5 Avg",2001,California,Tom Holmoe
Chase Lyman,SO,WR,"9 Rec, 106 Yds, 11.8 Avg",2001,California,Tom Holmoe
Geoff McArthur,,WR,"4 Rec, 32 Yds, 8.0 Avg",2001,California,Tom Holmoe
Tom Swoboda*,JR,TE,"8 Rec, 89 Yds, 11.1 Avg",2001,California,Tom Holmoe
Jordan Hunter,FR,TE,"5 Rec, 46 Yds, 9.2 Avg",2001,California,Tom Holmoe
Terrance Dotsy,JR,TE,"3 Rec, 26 Yds, 8.7 Avg",2001,California,Tom Holmoe
Jordon Hunter,,TE,,2001,California,Tom Holmoe
Ryan Jones*,,OL,,2001,California,Tom Holmoe
Scott Tercero*,,OL,,2001,California,Tom Holmoe
Langston Walker*,,OL,,2001,California,Tom Holmoe
Mark Wilson*,,OL,,2001,California,Tom Holmoe
Mark-Christian Jensen,JR,K,,2001,California,Tom Holmoe
Tom Canada*,JR,DL,,2001,California,Tom Holmoe
Tully Banta-Cain*,,DL,,2001,California,Tom Holmoe
Josh Beckham*,,DL,,2001,California,Tom Holmoe
Daniel Nwangwu*,,DL,,2001,California,Tom Holmoe
Lorenzo Alexander,,DL,,2001,California,Tom Holmoe
Josh Gustaveson,,DL,,2001,California,Tom Holmoe
Tosh Lupoi,,DL,,2001,California,Tom Holmoe
Scott Fujita*,,LB,,2001,California,Tom Holmoe
John Klotsche*,,LB,,2001,California,Tom Holmoe
Matt Nixon*,,LB,,2001,California,Tom Holmoe
Wendell Hunter,FR,LB,,2001,California,Tom Holmoe
Lashaun Ward*,JR,DB,,2001,California,Tom Holmoe
Nnamdi Asomugha*,JR,DB,,2001,California,Tom Holmoe
James Bethea*,SO,DB,,2001,California,Tom Holmoe
Atari Callen*,SO,DB,,2001,California,Tom Holmoe
Dewey Hale*,SR,DB,,2001,California,Tom Holmoe
Adam Sugarman,SR,DB,,2001,California,Tom Holmoe
Ray Carmel,JR,DB,,2001,California,Tom Holmoe
Jemeel Powell,JR,DB,,2001,California,Tom Holmoe
Bert Watts,,DB,,2001,California,Tom Holmoe
Tyler Fredrickson,SO,P,,2001,California,Tom Holmoe
Tyler Frederickson,,P,,2001,California,Tom Holmoe
