Player,Class,Pos,Summary,Year,School,Coach
Kyle Boller*,,QB,"100 Cmp, 259 Att, 1303 Yds, 9 TD",1999,California,Tom Holmoe
Wes Dalton,,QB,"16 Cmp, 38 Att, 227 Yds, 1 TD",1999,California,Tom Holmoe
Samuel Clemons,,QB,"10 Cmp, 20 Att, 108 Yds, 0 TD",1999,California,Tom Holmoe
Saleem Muhammad*,,RB,"35 Att, 112 Yds, 3.2 Avg",1999,California,Tom Holmoe
Joe Igber*,,RB,"148 Att, 694 Yds, 4.7 Avg",1999,California,Tom Holmoe
Marcus Fields,,RB,"98 Att, 368 Yds, 3.8 Avg",1999,California,Tom Holmoe
Joshua White,,RB,"17 Att, 92 Yds, 5.4 Avg",1999,California,Tom Holmoe
Adimchinobe Echemandu,,RB,"10 Att, 24 Yds, 2.4 Avg",1999,California,Tom Holmoe
Michael Ainsworth*,,WR,"34 Rec, 499 Yds, 14.7 Avg",1999,California,Tom Holmoe
Ronnie Davenport*,,WR,"15 Rec, 211 Yds, 14.1 Avg",1999,California,Tom Holmoe
Lashaun Ward,,WR,"2 Rec, 98 Yds, 49.0 Avg",1999,California,Tom Holmoe
Phillip Pipersburg,,WR,"13 Rec, 85 Yds, 6.5 Avg",1999,California,Tom Holmoe
Drae Harris,,WR,"11 Rec, 176 Yds, 16.0 Avg",1999,California,Tom Holmoe
Sean Currin,,WR,"7 Rec, 141 Yds, 20.1 Avg",1999,California,Tom Holmoe
Joel Young,,WR,"4 Rec, 17 Yds, 4.3 Avg",1999,California,Tom Holmoe
Brian Surgener*,,TE,"9 Rec, 87 Yds, 9.7 Avg",1999,California,Tom Holmoe
Corey Smith,,TE,"1 Rec, 2 Yds, 2.0 Avg",1999,California,Tom Holmoe
Marcus Helfman,,TE,,1999,California,Tom Holmoe
Reed Diehl*,,OL,,1999,California,Tom Holmoe
Kevin Doherty*,,OL,,1999,California,Tom Holmoe
Brandon Ludwig*,,OL,,1999,California,Tom Holmoe
John Romero*,,OL,,1999,California,Tom Holmoe
Langston Walker*,,OL,,1999,California,Tom Holmoe
Scott Tercero,,OL,,1999,California,Tom Holmoe
Yauger Williams,,OL,,1999,California,Tom Holmoe
Ignacio Brache,,K,,1999,California,Tom Holmoe
Jeremy Hershey,,K,,1999,California,Tom Holmoe
Mark-Christian Jensen,,K,,1999,California,Tom Holmoe
Andre Carter*,,DL,,1999,California,Tom Holmoe
Jerry DeLoach*,,DL,,1999,California,Tom Holmoe
Mawuko Tugbenyoh*,,DL,,1999,California,Tom Holmoe
Jacob Waasdorp*,,DL,,1999,California,Tom Holmoe
Daniel Nwangwu,,DL,,1999,California,Tom Holmoe
Jeremiah Parker,,DL,,1999,California,Tom Holmoe
Matt Beck*,,LB,,1999,California,Tom Holmoe
Keith Miller*,,LB,,1999,California,Tom Holmoe
Sekou Sanyika*,,LB,,1999,California,Tom Holmoe
Jamaal Cherry,,LB,,1999,California,Tom Holmoe
Scott Fujita,,LB,,1999,California,Tom Holmoe
Fa'avae Fa'avae,,LB,,1999,California,Tom Holmoe
J.J. Jimenez,,LB,,1999,California,Tom Holmoe
Deltha O'Neal*,,DB,,1999,California,Tom Holmoe
Pete DeStefano*,,DB,,1999,California,Tom Holmoe
Chidi Iwuoma*,,DB,,1999,California,Tom Holmoe
Damien Marzett*,,DB,,1999,California,Tom Holmoe
Jemeel Powell,,DB,,1999,California,Tom Holmoe
Dewey Hale,,DB,,1999,California,Tom Holmoe
Atari Callen,,DB,,1999,California,Tom Holmoe
Nick Harris,,P,,1999,California,Tom Holmoe
