Player,Class,Pos,Summary,Year,School,Coach
Roland Hawkins*,,WR,"31 Rec, 611 Yds, 19.7 Avg",1987,Oregon State,Dave Kragthorpe
Jason Kent,,WR,"1 Rec, 7 Yds, 7.0 Avg",1987,Oregon State,Dave Kragthorpe
Bryant Hill,,WR,"18 Rec, 248 Yds, 13.8 Avg",1987,Oregon State,Dave Kragthorpe
Lloyd Bailey,,WR,"7 Rec, 110 Yds, 15.7 Avg",1987,Oregon State,Dave Kragthorpe
George Gaines,,WR,"1 Rec, 3 Yds, 3.0 Avg",1987,Oregon State,Dave Kragthorpe
Phil Ross*,,TE,"56 Rec, 625 Yds, 11.2 Avg",1987,Oregon State,Dave Kragthorpe
Ryan Hollenbeck,,TE,"1 Rec, 9 Yds, 9.0 Avg",1987,Oregon State,Dave Kragthorpe
Tom Denevan,,TE,,1987,Oregon State,Dave Kragthorpe
Kenny Felix*,,OL,,1987,Oregon State,Dave Kragthorpe
Owen Hooven*,,OL,,1987,Oregon State,Dave Kragthorpe
Paul Hopkins*,,OL,,1987,Oregon State,Dave Kragthorpe
Ken Kiff*,,OL,,1987,Oregon State,Dave Kragthorpe
Dave Orndorff*,,OL,,1987,Oregon State,Dave Kragthorpe
Mike Bailey,,OL,,1987,Oregon State,Dave Kragthorpe
Hector Meza,,OL,,1987,Oregon State,Dave Kragthorpe
Jeff Mori,,OL,,1987,Oregon State,Dave Kragthorpe
Steve Peters,,OL,,1987,Oregon State,Dave Kragthorpe
Troy Bussanich,,K,,1987,Oregon State,Dave Kragthorpe
Phil Alfieri*,,DL,,1987,Oregon State,Dave Kragthorpe
Rich Haggerty*,,DL,,1987,Oregon State,Dave Kragthorpe
Brent Mann*,,DL,,1987,Oregon State,Dave Kragthorpe
Tom Vettrus*,,DL,,1987,Oregon State,Dave Kragthorpe
Esera Tuaolo,,DL,,1987,Oregon State,Dave Kragthorpe
Bronco Mendenhall*,,LB,,1987,Oregon State,Dave Kragthorpe
Scott Sanders*,,LB,,1987,Oregon State,Dave Kragthorpe
Jeff Schneider*,,LB,,1987,Oregon State,Dave Kragthorpe
Jim Cureton,,LB,,1987,Oregon State,Dave Kragthorpe
Ray Giacomelli,,LB,,1987,Oregon State,Dave Kragthorpe
Mike Mathews,,LB,,1987,Oregon State,Dave Kragthorpe
Andre Harris*,,DB,,1987,Oregon State,Dave Kragthorpe
Teddy Johnson*,,DB,,1987,Oregon State,Dave Kragthorpe
Lavance Northington*,,DB,,1987,Oregon State,Dave Kragthorpe
Kevin Scott*,,DB,,1987,Oregon State,Dave Kragthorpe
David Brannon,,DB,,1987,Oregon State,Dave Kragthorpe
Don Odegard,,DB,,1987,Oregon State,Dave Kragthorpe
Tony Scarlata,,P,,1987,Oregon State,Dave Kragthorpe
