Player,Class,Pos,Summary,Year,School,Coach
Matt Booher*,,QB,"100 Cmp, 183 Att, 892 Yds, 3 TD",1990,Oregon State,Dave Kragthorpe
Fred Schweer,,QB,"28 Cmp, 73 Att, 448 Yds, 2 TD",1990,Oregon State,Dave Kragthorpe
Ed Browning,,QB,"20 Cmp, 52 Att, 236 Yds, 2 TD",1990,Oregon State,Dave Kragthorpe
Kent Riddle,,QB,"1 Cmp, 3 Att, 4 Yds, 0 TD",1990,Oregon State,Dave Kragthorpe
James Jones*,,RB,"104 Att, 364 Yds, 3.5 Avg",1990,Oregon State,Dave Kragthorpe
Reggie Pitchford*,,RB,"78 Att, 313 Yds, 4.0 Avg",1990,Oregon State,Dave Kragthorpe
Dwayne Owens,,RB,"87 Att, 364 Yds, 4.2 Avg",1990,Oregon State,Dave Kragthorpe
Jerrell Waddell,,RB,"7 Att, 9 Yds, 1.3 Avg",1990,Oregon State,Dave Kragthorpe
Cory Huot,,RB,"4 Att, 12 Yds, 3.0 Avg",1990,Oregon State,Dave Kragthorpe
Scott Wright,,RB,,1990,Oregon State,Dave Kragthorpe
Kevin Strasser*,,WR,"14 Rec, 196 Yds, 14.0 Avg",1990,Oregon State,Dave Kragthorpe
Maurice Wilson*,,WR,"41 Rec, 425 Yds, 10.4 Avg",1990,Oregon State,Dave Kragthorpe
George Breland*,,WR,"17 Rec, 173 Yds, 10.2 Avg",1990,Oregon State,Dave Kragthorpe
Craig Palos,,WR,"16 Rec, 299 Yds, 18.7 Avg",1990,Oregon State,Dave Kragthorpe
Scott Benton,,WR,"2 Rec, 17 Yds, 8.5 Avg",1990,Oregon State,Dave Kragthorpe
Uda Walker,,WR,"2 Rec, 41 Yds, 20.5 Avg",1990,Oregon State,Dave Kragthorpe
Al Griswold,,WR,"1 Rec, 18 Yds, 18.0 Avg",1990,Oregon State,Dave Kragthorpe
Jason Blum,,TE,"7 Rec, 77 Yds, 11.0 Avg",1990,Oregon State,Dave Kragthorpe
David Brown,,TE,"1 Rec, 9 Yds, 9.0 Avg",1990,Oregon State,Dave Kragthorpe
Phil Hammitt,,TE,,1990,Oregon State,Dave Kragthorpe
Adam Albaugh*,,OL,,1990,Oregon State,Dave Kragthorpe
Brad D'Ancona*,,OL,,1990,Oregon State,Dave Kragthorpe
Fletcher Keister*,,OL,,1990,Oregon State,Dave Kragthorpe
Christian Miller*,,OL,,1990,Oregon State,Dave Kragthorpe
Tom Nordquist*,,OL,,1990,Oregon State,Dave Kragthorpe
Matt Miner,,OL,,1990,Oregon State,Dave Kragthorpe
Jamie Burke,,K,,1990,Oregon State,Dave Kragthorpe
Martin Billings*,,DL,,1990,Oregon State,Dave Kragthorpe
Chad De Sully*,,DL,,1990,Oregon State,Dave Kragthorpe
Esera Tuaolo*,,DL,,1990,Oregon State,Dave Kragthorpe
Thomas Bookman,,DL,,1990,Oregon State,Dave Kragthorpe
Corey Brannon,,DL,,1990,Oregon State,Dave Kragthorpe
Eric Davis*,,LB,,1990,Oregon State,Dave Kragthorpe
Doug Lewis*,,LB,,1990,Oregon State,Dave Kragthorpe
Mark Price*,,LB,,1990,Oregon State,Dave Kragthorpe
Todd Sahlfeld*,,LB,,1990,Oregon State,Dave Kragthorpe
Todd McKinney,,LB,,1990,Oregon State,Dave Kragthorpe
Rickey Fizer,,LB,,1990,Oregon State,Dave Kragthorpe
Tony O'Billovich,,LB,,1990,Oregon State,Dave Kragthorpe
Tim Slone,,LB,,1990,Oregon State,Dave Kragthorpe
Brian Beck*,,DB,,1990,Oregon State,Dave Kragthorpe
Zechariah Davis*,,DB,,1990,Oregon State,Dave Kragthorpe
Dennis Edwards*,,DB,,1990,Oregon State,Dave Kragthorpe
Brent Huff*,,DB,,1990,Oregon State,Dave Kragthorpe
Scott Thompson,,DB,,1990,Oregon State,Dave Kragthorpe
Earl Zackery,,DB,,1990,Oregon State,Dave Kragthorpe
Chad Paulson,,DB,,1990,Oregon State,Dave Kragthorpe
Tim Kollas,,P,,1990,Oregon State,Dave Kragthorpe
Tyler Shelton,,P,,1990,Oregon State,Dave Kragthorpe
