Player,Class,Pos,Summary,Year,School,Coach
Jay Kos,,LB,,2000,San Diego State,Ted Tollner
Will Demps,JR,DB,,2000,San Diego State,Ted Tollner
Donte Gamble,JR,DB,,2000,San Diego State,Ted Tollner
Garrett Pavelko,FR,DB,,2000,San Diego State,Ted Tollner
Brian Russell,SR,DB,,2000,San Diego State,Ted Tollner
Ricky Sharpe,SO,DB,,2000,San Diego State,Ted Tollner
Justin Sisco,SR,P,,2000,San Diego State,Ted Tollner
Brian Simnjanovski,,P,,2000,San Diego State,Ted Tollner
Jay Xos,,,,2000,San Diego State,Ted Tollner
Lon Sheriff,JR,QB,"110 Cmp, 235 Att, 1283 Yds, 3 TD",2001,San Diego State,Ted Tollner
Adam Hall,SO,QB,"46 Cmp, 94 Att, 600 Yds, 2 TD",2001,San Diego State,Ted Tollner
Jon Stoner,SO,QB,"3 Cmp, 3 Att, 30 Yds, 0 TD",2001,San Diego State,Ted Tollner
Danny Armstrong,SO,QB,"1 Cmp, 1 Att, 14 Yds, 0 TD",2001,San Diego State,Ted Tollner
Larry Ned,SR,RB,"311 Att, 1549 Yds, 5.0 Avg",2001,San Diego State,Ted Tollner
Justin Green,SO,RB,"24 Att, 133 Yds, 5.5 Avg",2001,San Diego State,Ted Tollner
Garric Simmons,JR,RB,"14 Att, 67 Yds, 4.8 Avg",2001,San Diego State,Ted Tollner
Jason Van,SO,RB,"9 Att, 40 Yds, 4.4 Avg",2001,San Diego State,Ted Tollner
Fale Poumele,FR,RB,"2 Rec, 17 Yds, 8.5 Avg",2001,San Diego State,Ted Tollner
Derrick Lewis,SR,WR,"28 Rec, 398 Yds, 14.2 Avg",2001,San Diego State,Ted Tollner
J.R. Tolver,JR,WR,"63 Rec, 878 Yds, 13.9 Avg",2001,San Diego State,Ted Tollner
Jeff Webb,,WR,"16 Rec, 212 Yds, 13.3 Avg",2001,San Diego State,Ted Tollner
Thomas Howard,SR,WR,"2 Rec, 17 Yds, 8.5 Avg",2001,San Diego State,Ted Tollner
Deric Martin,SR,WR,"2 Rec, 14 Yds, 7.0 Avg",2001,San Diego State,Ted Tollner
Lonnel Penman,SO,WR,"2 Rec, 16 Yds, 8.0 Avg",2001,San Diego State,Ted Tollner
Kyle Conerly,FR,WR,"1 Rec, 16 Yds, 16.0 Avg",2001,San Diego State,Ted Tollner
Gray McNeill,SR,TE,"18 Rec, 164 Yds, 9.1 Avg",2001,San Diego State,Ted Tollner
Brian Gelt,SR,TE,"4 Rec, 39 Yds, 9.8 Avg",2001,San Diego State,Ted Tollner
Raleigh Fletcher,SO,TE,"3 Rec, 16 Yds, 5.3 Avg",2001,San Diego State,Ted Tollner
Brian Simnjamovski,JR,K,,2001,San Diego State,Ted Tollner
Tommy Kirovski,JR,K,,2001,San Diego State,Ted Tollner
Kirk Morrison,SO,LB,,2001,San Diego State,Ted Tollner
Dylan Robles,SR,LB,,2001,San Diego State,Ted Tollner
Hubert Caliste,FR,DB,,2001,San Diego State,Ted Tollner
Will Demps,SR,DB,,2001,San Diego State,Ted Tollner
Donte Gamble,SR,DB,,2001,San Diego State,Ted Tollner
Garrett Pavelko,SO,DB,,2001,San Diego State,Ted Tollner
Ricky Sharpe,JR,DB,,2001,San Diego State,Ted Tollner
Jeff Shoate,SO,DB,,2001,San Diego State,Ted Tollner
Greg Taylor,SR,DB,,2001,San Diego State,Ted Tollner
Marviel Underwood,SO,DB,,2001,San Diego State,Ted Tollner
Brian Simnjanovski,,P,,2001,San Diego State,Ted Tollner
_ Randall,,,,2001,San Diego State,Ted Tollner
