Player,Class,Pos,Summary,Year,School,Coach
Marc Wilson*,,QB,"164 Cmp, 277 Att, 2418 Yds, 24 TD",1977,Brigham Young,LaVell Edwards
Gifford Nielsen,,QB,"98 Cmp, 156 Att, 1167 Yds, 16 TD",1977,Brigham Young,LaVell Edwards
Terry McEwen,,QB,"3 Cmp, 3 Att, 32 Yds, 0 TD",1977,Brigham Young,LaVell Edwards
Danny Hartwig,,QB,"1 Cmp, 2 Att, 9 Yds, 0 TD",1977,Brigham Young,LaVell Edwards
Scott Phillips*,,RB,"47 Att, 325 Yds, 6.9 Avg",1977,Brigham Young,LaVell Edwards
Todd Christensen*,,RB,"79 Att, 290 Yds, 3.7 Avg",1977,Brigham Young,LaVell Edwards
Roger Gourley,,RB,"76 Att, 294 Yds, 3.9 Avg",1977,Brigham Young,LaVell Edwards
Bill Ring,,RB,"58 Att, 262 Yds, 4.5 Avg",1977,Brigham Young,LaVell Edwards
Casey Wingard,,RB,"33 Att, 192 Yds, 5.8 Avg",1977,Brigham Young,LaVell Edwards
Scott Reber,,RB,"6 Att, 25 Yds, 4.2 Avg",1977,Brigham Young,LaVell Edwards
John Van Der Wouden*,,WR,"43 Rec, 661 Yds, 15.4 Avg",1977,Brigham Young,LaVell Edwards
Mike Chronister*,,WR,"38 Rec, 649 Yds, 17.1 Avg",1977,Brigham Young,LaVell Edwards
George Harris,,WR,"23 Rec, 313 Yds, 13.6 Avg",1977,Brigham Young,LaVell Edwards
Rick Jones,,WR,"7 Rec, 69 Yds, 9.9 Avg",1977,Brigham Young,LaVell Edwards
Stan Younger,,WR,"6 Rec, 74 Yds, 12.3 Avg",1977,Brigham Young,LaVell Edwards
Lynn Zwahlen,,WR,"5 Rec, 32 Yds, 6.4 Avg",1977,Brigham Young,LaVell Edwards
Tod Thompson*,,TE,"37 Rec, 602 Yds, 16.3 Avg",1977,Brigham Young,LaVell Edwards
Rob Anderson,,TE,"2 Rec, 16 Yds, 8.0 Avg",1977,Brigham Young,LaVell Edwards
Calvin Close*,,OL,,1977,Brigham Young,LaVell Edwards
Tom Miller*,,OL,,1977,Brigham Young,LaVell Edwards
Lance Reynolds*,,OL,,1977,Brigham Young,LaVell Edwards
Keith Uperesa*,,OL,,1977,Brigham Young,LaVell Edwards
Danny Hansen,,OL,,1977,Brigham Young,LaVell Edwards
Scott Nielson,,OL,,1977,Brigham Young,LaVell Edwards
Dev Duke,,K,,1977,Brigham Young,LaVell Edwards
Mekeli Ierema*,,DL,,1977,Brigham Young,LaVell Edwards
Mat Mendenhall*,,DL,,1977,Brigham Young,LaVell Edwards
Gary Peterson*,,DL,,1977,Brigham Young,LaVell Edwards
Ross Varner*,,DL,,1977,Brigham Young,LaVell Edwards
Mark Bernsten*,,LB,,1977,Brigham Young,LaVell Edwards
Larry Miller*,,LB,,1977,Brigham Young,LaVell Edwards
Rod Wood*,,LB,,1977,Brigham Young,LaVell Edwards
Jason Coloma*,,DB,,1977,Brigham Young,LaVell Edwards
Tony Hernandez*,,DB,,1977,Brigham Young,LaVell Edwards
Bob Prested*,,DB,,1977,Brigham Young,LaVell Edwards
Ron Velasco*,,DB,,1977,Brigham Young,LaVell Edwards
Marc Swensen,,DB,,1977,Brigham Young,LaVell Edwards
Dave McKee,,DB,,1977,Brigham Young,LaVell Edwards
John Neal,,DB,,1977,Brigham Young,LaVell Edwards
Marc Swenson,,DB,,1977,Brigham Young,LaVell Edwards
Jim McMahon,,P,,1977,Brigham Young,LaVell Edwards
