Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
1,2024,NFL,2,63,KAN,Kingsley Suamataia,OL,Brigham Young,Kalani Sitake
2,2023,NFL,4,106,IND,Blake Freeland,OL,Brigham Young,Kalani Sitake
3,2023,NFL,5,164,MIN,Jaren Hall,QB,Brigham Young,Kalani Sitake
4,2023,NFL,5,177,LAR,Puka Nacua,WR,Brigham Young,Kalani Sitake
5,2022,NFL,5,151,ATL,Tyler Allgeier,RB,Brigham Young,Kalani Sitake
6,2021,NFL,1,2,NYJ,Zach Wilson,QB,Brigham Young,Kalani Sitake
7,2021,NFL,3,70,CAR,Brady Christensen,OL,Brigham Young,Kalani Sitake
8,2021,NFL,7,250,CHI,Khyiris Tonga,DL,Brigham Young,Kalani Sitake
9,2021,NFL,7,251,TAM,Chris Wilcox,DB,Brigham Young,Kalani Sitake
10,2021,NFL,7,258,WAS,Dax Milne,WR,Brigham Young,Kalani Sitake
11,2019,NFL,3,80,CLE,Sione Takitaki,LB,Brigham Young,Kalani Sitake
12,2018,NFL,3,70,SFO,Fred Warner,OLB,Brigham Young,Kalani Sitake
13,2017,NFL,4,134,GNB,Jamaal Williams,RB,Brigham Young,Kalani Sitake
14,2016,NFL,3,70,BAL,Bronson Kaufusi,DE,Brigham Young,Kalani Sitake
15,2014,NFL,2,40,DET,Kyle Van Noy,LB,Brigham Young,Kalani Sitake
